商户编号,商户全称,商户简称,区域,商户地址,所属商圈编号,所属商圈名称,所属银行机构代码,商户机构代码,商户上架状态,省域,Qr Code,活动编号,城市,Sub Mer ID,Account Type,Shops Aptitude,组织机构表 → 总行标识,组织机构表 → 系统机构号,组织机构表 → 行政区划号,组织机构表 → 行名称,组织机构表 → 省域,组织机构表 → 城市,组织机构表 → 分行级别
394,广德县刘敏文具店,广德县刘敏文具店,广德市,宣城市广德市太极商贸,44,宁波得力,129999,92341822MA2NYBAHXT,ing,安徽省,MTYxNjEzNTgzMzcyOQ==,,宣城市,0292341822MA2NYBAHXT,401,92341822MA2NYBAHXT,ABC,129999,340000,安徽,安徽省,,1
395,宣城领先未来科技有限公司,宣城领先未来科技有限公司,宣州区,宣城市石板桥,44,宁波得力,129999,91341800MA2T60CG79,soldOut,安徽省,MTYxNjEzNTgzNDY5OQ==,,宣城市,0291341800MA2T60CG79,401,91341800MA2T60CG79,ABC,129999,340000,安徽,安徽省,,1
396,阜阳市德信办公设备销售有限公司,阜阳市德信办公设备销售有限公司,颍州区,安徽省阜阳市颍州区新天地商铺得力办公,44,宁波得力,129999,91341200336780186W,soldOut,安徽省,MTYxNjEzNTgzNTYyNg==,,阜阳市,0291341200336780186W,401,91341200336780186W,ABC,129999,340000,安徽,安徽省,,1
460,合肥欧博商贸有限公司,合肥欧博商贸有限公司,肥西县,肥西县华南城服装市场东二门B-1B5-16,44,宁波得力,129999,123MA2RF3FMOC(1-1),soldOut,安徽省,MTYxNjEzNTg5NTg3OA==,,合肥市,0291340123MA2RF3FMOC(1-1),401,123MA2RF3FMOC(1-1),ABC,129999,340000,安徽,安徽省,,1
461,安徽文鹏电子科技,安徽文鹏电子科技有限公司,蜀山区,合肥市蜀山区黄金广场,44,宁波得力,129999,1GOMA2RA4EC8C(1-1),soldOut,安徽省,MTYxNjEzNTg5NjgyMA==,,合肥市,02913401GOMA2RA4EC8C(1-1),401,1GOMA2RA4EC8C(1-1),ABC,129999,340000,安徽,安徽省,,1
462,合肥佳仕捷电子商贷,合肥佳仕捷电子商贷有限公司,蜀山区,合肥市蜀山区黄金广场,44,宁波得力,129999,1003368130992（1-1）,soldOut,安徽省,MTYxNjEzNTg5Nzc4OA==,,合肥市,02913401003368130992（1-1）,401,1003368130992（1-1）,ABC,129999,340000,安徽,安徽省,,1
463,合肥市锐超商贸,合肥市锐超商贸有限责任公司,瑶海区,安徽大市场,44,宁波得力,129999,100575747869N(1-1),soldOut,安徽省,MTYxNjEzNTg5ODczMg==,,合肥市,0291340100575747869N(1-1),401,100575747869N(1-1),ABC,129999,340000,安徽,安徽省,,1
464,合肥祥春商贸有限责任公司,合肥祥春商贸有限责任公司,蜀山区,九州通医药,44,宁波得力,129999,100MA2MYXKTOK(1-1),soldOut,安徽省,MTYxNjEzNTg5OTY4Mg==,,合肥市,0291340100MA2MYXKTOK(1-1),401,100MA2MYXKTOK(1-1),ABC,129999,340000,安徽,安徽省,,1
465,六安市叶集区久源文体用品经营店,六安市叶集区久源文体用品经营店,叶集区,六安市叶集区皖西市场南门,44,宁波得力,129999,92341500MA2NR4KN54,ing,安徽省,MTYxNjEzNTkwMDYwMw==,,六安市,0292341500MA2NR4KN54,401,92341500MA2NR4KN54,ABC,129999,340000,安徽,安徽省,,1
466,霍邱县巾华商贸有限公司,霍邱县巾华商贸有限公司,霍邱县,霍邱县光明大道巾华文具,44,宁波得力,129999,522788559490G(1-1),soldOut,安徽省,MTYxNjEzNTkwMTU1Nw==,,六安市,0291341522788559490G(1-1),401,522788559490G(1-1),ABC,129999,340000,安徽,安徽省,,1
467,合肥庐阳区金星文体用品商店,合肥庐阳区金星文体用品商店,庐阳区,合肥市庐阳区淮河路城隍庙金星文体,44,宁波得力,129999,92340100MA2PBY2P3F,ing,安徽省,MTYxNjEzNTkwMjQ5OQ==,,合肥市,0292340100MA2PBY2P3F,401,92340100MA2PBY2P3F,ABC,129999,340000,安徽,安徽省,,1
468,合肥市瑶海区笔墨阁文具店,合肥市瑶海区笔墨阁文具店,瑶海区,合肥市瑶海区临泉路一小,44,宁波得力,129999,92340102MA2W4A6K0U,ing,安徽省,MTYxNjEzNTkwMzQzMw==,,合肥市,0292340102MA2W4A6K0U,401,92340102MA2W4A6K0U,ABC,129999,340000,安徽,安徽省,,1
469,合肥瑶海区小伙伴文具店,合肥瑶海区小伙伴文具店,瑶海区,瑶海区新安江路与捉月台路交口,44,宁波得力,129999,92340102MA2NXE683Q,ing,安徽省,MTYxNjEzNTkwNDM5OA==,,合肥市,0292340102MA2NXE683Q,401,92340102MA2NXE683Q,ABC,129999,340000,安徽,安徽省,,1
470,合肥昇翔文体用品有限公司,合肥昇翔文体用品有限公司,庐阳区,庐阳区淮合路得力文具,44,宁波得力,129999,130MA2RXN8Q1H(1-1),soldOut,安徽省,MTYxNjEzNTkwNTMzNQ==,,合肥市,0291340130MA2RXN8Q1H(1-1),401,130MA2RXN8Q1H(1-1),ABC,129999,340000,安徽,安徽省,,1
471,安徽省雅卓商贸有限公司,安徽省雅卓商贸有限公司,包河区,包河区雅卓办公用品西安路店,44,宁波得力,129999,91340111MA2WLWHL1G,soldOut,安徽省,MTYxNjEzNTkwNjI3Ng==,,合肥市,0291340111MA2WLWHL1G,401,91340111MA2WLWHL1G,ABC,129999,340000,安徽,安徽省,,1
472,合肥庐阳区中飞文具店,合肥庐阳区中飞文具店,庐阳区,庐阳区四十五中森林校区,44,宁波得力,129999,103MA2UGE88XB(1-1),ing,安徽省,MTYxNjEzNTkwNzIwNQ==,,合肥市,0292340103MA2UGE88XB(1-1),401,103MA2UGE88XB(1-1),ABC,129999,340000,安徽,安徽省,,1
473,合肥市包河区捷趋文体用品店,合肥市包河区捷趋文体用品店,包河区,滨湖区师范附小三小,44,宁波得力,129999,111MA2NBOD71R(1-1),ing,安徽省,MTYxNjEzNTkwODEzMg==,,合肥市,0292340111MA2NBOD71R(1-1),401,111MA2NBOD71R(1-1),ABC,129999,340000,安徽,安徽省,,1
615,南陵庆阳电子产品销售有限公司,南陵庆阳电子产品销售有限公司,南陵县,芜湖市南陵县桃园酒店对面,44,宁波得力,129999,91340223MA2RJCTC4B,soldOut,安徽省,MTYxNjEzNjA0NDUwMg==,,芜湖市,0291340223MA2RJCTC4B,401,91340223MA2RJCTC4B,ABC,129999,340000,安徽,安徽省,,1
616,泾县宏图文化用品商贸有限公司,泾县宏图文化用品商贸有限公司,泾县,宣城市泾县谢园西路二小门口,44,宁波得力,129999,91341823MA2P0C1U84,soldOut,安徽省,MTYxNjEzNjA0NTQzNg==,,宣城市,0291341823MA2P0C1U84,401,91341823MA2P0C1U84,ABC,129999,340000,安徽,安徽省,,1
640,合肥龙桂坊百货有限公司,合肥龙桂坊百货有限公司,巢湖市,巢湖市十字街三街一号二楼,44,宁波得力,129999,181MA2T5UP48K(1-1),soldOut,安徽省,MTYxNjEzNjA2ODExNg==,,合肥市,0291340181MA2T5UP48K(1-1),401,181MA2T5UP48K(1-1),ABC,129999,340000,安徽,安徽省,,1
641,合肥优扬文化用品有限公司,合肥优扬文化用品有限公司,长丰县,长丰县长丰路157号正东方向50米,44,宁波得力,129999,121MA2NRCG89J(1-1),soldOut,安徽省,MTYxNjEzNjA2OTA0Mg==,,合肥市,0291340121MA2NRCG89J(1-1),401,121MA2NRCG89J(1-1),ABC,129999,340000,安徽,安徽省,,1
642,合肥市高新区龙军办公用品梦园店,合肥市高新区龙军办公用品梦园店,蜀山区,合肥市蜀山区梦圆中学,44,宁波得力,129999,011MA2UT2NFOK(1-1),ing,安徽省,MTYxNjEzNjA2OTk4MA==,,合肥市,029234011MA2UT2NFOK(1-1),401,011MA2UT2NFOK(1-1),ABC,129999,340000,安徽,安徽省,,1
643,合肥市包河区状元里文体用品经营部,合肥市包河区状元里文体用品经营部,包河区,合肥市包河区实验学校九龙湾校区,44,宁波得力,129999,92340111MA2RHP727H,ing,安徽省,MTYxNjEzNjA3MDkzNQ==,,合肥市,0292340111MA2RHP727H,401,92340111MA2RHP727H,ABC,129999,340000,安徽,安徽省,,1
644,合肥市蜀山区诚之鑫文具店,合肥市蜀山区诚之鑫文具店,蜀山区,合肥市蜀山区乐农新村小学,44,宁波得力,129999,2.3401E+16,ing,安徽省,MTYxNjEzNjA3MTg2MQ==,,合肥市,2.3401E+16,401,2.3401E+16,ABC,129999,340000,安徽,安徽省,,1
645,合肥市包河区顺兴广告制作部,合肥市包河区顺兴广告制作部,包河区,包河区葛大店小学南区,44,宁波得力,129999,92340111MA2NCHFK27,ing,安徽省,MTYxNjEzNjA3MjgxNQ==,,合肥市,0292340111MA2NCHFK27,401,92340111MA2NCHFK27,ABC,129999,340000,安徽,安徽省,,1
646,合肥市瑶海区爱尚学文具店,合肥市瑶海区爱尚学文具店,瑶海区,瑶海区马岗小学,44,宁波得力,129999,92340102MA2W6J2QXD,ing,安徽省,MTYxNjEzNjA3Mzc2OA==,,合肥市,0292340102MA2W6J2QXD,401,92340102MA2W6J2QXD,ABC,129999,340000,安徽,安徽省,,1
647,合肥市瑶海区新一海一燕文具店,合肥市瑶海区新一海一燕文具店,瑶海区,瑶海区马岗小学,44,宁波得力,129999,92340102MA2W6C881W,ing,安徽省,MTYxNjEzNjA3NDY5Ng==,,合肥市,0292340102MA2W6C881W,401,92340102MA2W6C881W,ABC,129999,340000,安徽,安徽省,,1
648,合肥庐阳区玉聪文具店,合肥庐阳区玉聪文具店,庐阳区,庐阳区南门小学上城国际,44,宁波得力,129999,92340100MA2PC5MH12,ing,安徽省,MTYxNjEzNjA3NTYwOQ==,,合肥市,0292340100MA2PC5MH12,401,92340100MA2PC5MH12,ABC,129999,340000,安徽,安徽省,,1
678,蚌埠市永青文化体育有限公司,蚌埠市永青文化体育有限公司,龙子湖区,安徽省蚌埠市淮河路,44,宁波得力,129999,91340300711722691X,soldOut,安徽省,MTYxNjEzNjEwNTA5OA==,,蚌埠市,0291340300711722691X,401,91340300711722691X,ABC,129999,340000,安徽,安徽省,,1
679,固镇县翰林书店,固镇县翰林书店,固镇县,安徽省固镇县浍河路雅阁苑翰林书店,44,宁波得力,129999,92340323MA2QWFAX3H,ing,安徽省,MTYxNjEzNjEwNjA0NA==,,蚌埠市,0292340323MA2QWFAX3H,401,92340323MA2QWFAX3H,ABC,129999,340000,安徽,安徽省,,1
680,蚌埠市蚌山区泽翔文体用品商行,蚌埠市蚌山区泽翔文体用品商行,固镇县,蚌埠光彩大市场,44,宁波得力,129999,2.3403E+15,ing,安徽省,MTYxNjEzNjEwNjk3Mw==,,蚌埠市,2.3403E+15,401,2.3403E+15,ABC,129999,340000,安徽,安徽省,,1
681,淮南市锦耀商贸有限公司,淮南市锦耀商贸有限公司,田家庵区,淮南市田家庵区宏学雅居,44,宁波得力,129999,91340400MA2ND9875Y,soldOut,安徽省,MTYxNjEzNjEwNzkzNw==,,淮南市,0291340400MA2ND9875Y,401,91340400MA2ND9875Y,ABC,129999,340000,安徽,安徽省,,1
687,蚌埠市禹会区优迪文具百货店,蚌埠市禹会区优迪文具百货店,禹会区,禹浍区长盛路,44,宁波得力,129999,92340304MA2U0AKD91,ing,安徽省,MTYxNjEzNjExMzcwMA==,,蚌埠市,0292340304MA2U0AKD91,401,92340304MA2U0AKD91,ABC,129999,340000,安徽,安徽省,,1
783,安徽晨扬商贸有限公司,安徽晨扬商贸有限公司,庐阳区,合肥市庐阳区华孚城隍庙二楼小博士文体,44,宁波得力,129999,91340100MA2MTYKB98,soldOut,安徽省,MTYxNjEzNjIwOTQ1OA==,,合肥市,0291340100MA2MTYKB98,401,91340100MA2MTYKB98,ABC,129999,340000,安徽,安徽省,,1
784,安庆市大观区硕林文体用品经营部,安庆市大观区硕林文体用品经营部,大观区,安庆市石化一中,44,宁波得力,129999,92340803MA2UEPTM7C,ing,安徽省,MTYxNjEzNjIxMDM5NA==,,安庆市,0292340803MA2UEPTM7C,401,92340803MA2UEPTM7C,ABC,129999,340000,安徽,安徽省,,1
785,安庆市迎江区酷君文化用品商店,安庆市迎江区酷君文化用品商店,迎江区,安庆市华中东路山水云间,44,宁波得力,129999,92340802MA2TKQNB30,ing,安徽省,MTYxNjEzNjIxMTMzNw==,,安庆市,0292340802MA2TKQNB30,401,92340802MA2TKQNB30,ABC,129999,340000,安徽,安徽省,,1
786,望江县真好文化用品贸易有限公司,望江县真好文化用品贸易有限公司,望江县,望江县回龙路爱好文体,44,宁波得力,129999,91340827MA2PU2MG31,soldOut,安徽省,MTYxNjEzNjIxMjMwOQ==,,安庆市,0291340827MA2PU2MG31,401,91340827MA2PU2MG31,ABC,129999,340000,安徽,安徽省,,1
787,安庆市新奥办公设备有限责任公司,安庆市新奥办公设备有限责任公司,宜秀区,安庆市赛格数码城,44,宁波得力,129999,9.13408E+17,soldOut,安徽省,MTYxNjEzNjIxMzI0Mg==,,安庆市,2.91341E+18,401,9.13408E+17,ABC,129999,340000,安徽,安徽省,,1
788,安庆市志友商贸有限公司,安庆市志友商贸有限公司,宜秀区,安庆市光彩三期吉祥家园,44,宁波得力,129999,91340800MA2N9W3H6Y,soldOut,安徽省,MTYxNjEzNjIxNDE4MQ==,,安庆市,0291340800MA2N9W3H6Y,401,91340800MA2N9W3H6Y,ABC,129999,340000,安徽,安徽省,,1
789,太湖县东明体育办公用品店,太湖县东明体育办公用品店,太湖县,太湖县新城建设路,44,宁波得力,129999,92340825MA2Q0XER4A,ing,安徽省,MTYxNjEzNjIxNTIyNA==,,安庆市,0292340825MA2Q0XER4A,401,92340825MA2Q0XER4A,ABC,129999,340000,安徽,安徽省,,1
790,太湖县佳亮百货店,太湖县佳亮百货店,太湖县,太湖县佳亮百货店,44,宁波得力,129999,92340825MA2NNH9786,ing,安徽省,MTYxNjEzNjIxNjE2OA==,,安庆市,0292340825MA2NNH9786,401,92340825MA2NNH9786,ABC,129999,340000,安徽,安徽省,,1
791,安徽睿桐电子商务有限公司,安徽睿桐电子商务有限公司,桐城市,桐城新安镇,44,宁波得力,129999,91340881MA2UUEGQ47,soldOut,安徽省,MTYxNjEzNjIxNzA5Mw==,,安庆市,0291340881MA2UUEGQ47,401,91340881MA2UUEGQ47,ABC,129999,340000,安徽,安徽省,,1
792,太湖县盛斌文化经营部,太湖县盛斌文化经营部,太湖县,太湖县二中对面,44,宁波得力,129999,92340825MA2Q2K35XU,ing,安徽省,MTYxNjEzNjIxODA0Mg==,,安庆市,0292340825MA2Q2K35XU,401,92340825MA2Q2K35XU,ABC,129999,340000,安徽,安徽省,,1
793,桐城市天健文体店,桐城市天健文体店,桐城市,桐城市龙眠路,44,宁波得力,129999,92340881MA2NU7W08C,ing,安徽省,MTYxNjEzNjIxOTAwOQ==,,安庆市,0292340881MA2NU7W08C,401,92340881MA2NU7W08C,ABC,129999,340000,安徽,安徽省,,1
794,潜山县思敏商店,潜山县思敏商店,潜山市,潜山县三中旁,44,宁波得力,129999,92340824MA2NYPU73P,ing,安徽省,MTYxNjEzNjIxOTk1Nw==,,安庆市,0292340824MA2NYPU73P,401,92340824MA2NYPU73P,ABC,129999,340000,安徽,安徽省,,1
795,安徽省慕航商贸有限公司,安徽省慕航商贸有限公司,瑶海区,合肥市瑶海区临泉路以南长春都市花园逸景台E座502室,44,宁波得力,129999,9.13401E+17,soldOut,安徽省,MTYxNjEzNjIyMDkwNw==,,合肥市,2.9134E+18,401,9.13401E+17,ABC,129999,340000,安徽,安徽省,,1
796,安徽金创文体商贸有限公司,安徽金创文体商贸有限公司,淮上区,安徽省蚌埠市义乌商贸城2楼D区,44,宁波得力,129999,91340311MA2UY3QB72,soldOut,安徽省,MTYxNjEzNjIyMjA0Mg==,,蚌埠市,0291340311MA2UY3QB72,401,91340311MA2UY3QB72,ABC,129999,340000,安徽,安徽省,,1
797,蚌埠市淮上区琴涛百货商行,蚌埠市淮上区琴涛百货商行,淮上区,安徽省蚌埠市义务商贸城D区二楼,44,宁波得力,129999,92340300MA2QX1C037,ing,安徽省,MTYxNjEzNjIyMjk2OQ==,,蚌埠市,0292340300MA2QX1C037,401,92340300MA2QX1C037,ABC,129999,340000,安徽,安徽省,,1
798,固镇县城关张迎欢乐魔方玩具店,固镇县城关张迎欢乐魔方玩具店,固镇县,安徽省固镇县,44,宁波得力,129999,92340323MA2QUNE77Q,ing,安徽省,MTYxNjEzNjIyMzkwNw==,,蚌埠市,0292340323MA2QUNE77Q,401,92340323MA2QUNE77Q,ABC,129999,340000,安徽,安徽省,,1
799,五河县睿昕文体经营部二店,五河县睿昕文体经营部二店,五河县,安徽省五河县金海商城,44,宁波得力,129999,2.34032E+15,ing,安徽省,MTYxNjEzNjIyNDg0OQ==,,蚌埠市,2.34032E+15,401,2.34032E+15,ABC,129999,340000,安徽,安徽省,,1
